Tipo_Colegio,Genero,Estrato_Vivienda,Puntaje_Global,Puntaje_Matematicas,Puntaje_Lectura
Oficial,Femenino,Estrato 3,285,60,57
No Oficial,Femenino,Estrato 2,278,38,53
Oficial,Femenino,Estrato 5,297,55,60
Oficial,Masculino,Estrato 1,207,38,36
Oficial,Masculino,Estrato 2,303,73,53
Oficial,Masculino,Estrato 3,251,50,52
Oficial,Masculino,Estrato 3,260,59,53
No Oficial,Femenino,Estrato 2,256,43,59
Oficial,Femenino,Estrato 3,274,52,55
Oficial,Masculino,Estrato 2,275,48,54
Oficial,Masculino,Estrato 2,232,38,50
No Oficial,Masculino,Estrato 4,346,61,76
No Oficial,Femenino,Estrato 4,309,56,60
Oficial,Masculino,Estrato 3,200,56,21
Oficial,Femenino,Estrato 2,262,51,45
Oficial,Femenino,Estrato 3,226,34,52
Oficial,Femenino,Estrato 1,227,41,57
Oficial,Femenino,Estrato 1,222,52,53
Oficial,Masculino,Estrato 3,303,54,57
Oficial,Femenino,Estrato 2,246,61,46
Oficial,Masculino,Estrato 5,252,58,55
Oficial,Femenino,Estrato 2,220,42,48
Oficial,Masculino,Estrato 2,243,43,31
Oficial,Femenino,Estrato 3,205,33,41
Oficial,Masculino,Estrato 3,258,53,51
No Oficial,Femenino,Estrato 2,248,52,41
Oficial,Masculino,Estrato 1,274,65,50
Oficial,Femenino,Estrato 3,215,45,44
Oficial,Femenino,Estrato 2,282,53,54
Oficial,Masculino,Estrato 1,321,75,70
Oficial,Femenino,Estrato 3,245,55,61
Oficial,Femenino,Estrato 1,297,53,66
Oficial,Masculino,Estrato 5,275,54,58
No Oficial,Femenino,Estrato 3,366,78,72
No Oficial,Femenino,Estrato 6,259,54,57
No Oficial,Femenino,Estrato 2,278,47,51
Oficial,Masculino,Estrato 5,268,55,49
Oficial,Masculino,Estrato 1,252,44,41
Oficial,Femenino,Estrato 1,251,50,39
Oficial,Masculino,Estrato 1,245,38,57
Oficial,Femenino,Estrato 2,250,42,51
Oficial,Masculino,Estrato 1,196,55,42
Oficial,Masculino,Estrato 2,235,43,46
No Oficial,Femenino,Estrato 2,299,68,73
Oficial,Femenino,Estrato 2,225,43,57
Oficial,Femenino,Estrato 3,221,34,44
Oficial,Masculino,Estrato 1,218,34,43
Oficial,Masculino,Estrato 3,202,34,38
Oficial,Masculino,Estrato 2,255,68,43
Oficial,Femenino,Estrato 4,232,44,43
No Oficial,Femenino,Estrato 2,308,63,59
No Oficial,Femenino,Estrato 6,306,66,45
No Oficial,Masculino,Estrato 2,263,56,36
No Oficial,Femenino,Estrato 5,239,54,47
Oficial,Masculino,Estrato 1,291,53,64
No Oficial,Femenino,Estrato 3,403,71,75
Oficial,Masculino,Estrato 3,233,39,58
Oficial,Femenino,Estrato 1,267,41,51
Oficial,Masculino,Estrato 2,218,39,37
